range,codepoint,char,unicode_name,image_file
Byzantine Musical Symbols,U+1D00A,𝀊,BYZANTINE MUSICAL SYMBOL YPOKRISIS,images/U+1D00A_BYZANTINE_MUSICAL_SYMBOL_YPOKRISIS.png
Byzantine Musical Symbols,U+1D00B,𝀋,BYZANTINE MUSICAL SYMBOL YPOKRISIS DIPLI,images/U+1D00B_BYZANTINE_MUSICAL_SYMBOL_YPOKRISIS_DIPLI.png
Byzantine Musical Symbols,U+1D00C,𝀌,BYZANTINE MUSICAL SYMBOL KREMASTI,images/U+1D00C_BYZANTINE_MUSICAL_SYMBOL_KREMASTI.png
Byzantine Musical Symbols,U+1D00D,𝀍,BYZANTINE MUSICAL SYMBOL APESO EKFONITIKON,images/U+1D00D_BYZANTINE_MUSICAL_SYMBOL_APESO_EKFONITIKON.png
Byzantine Musical Symbols,U+1D00E,𝀎,BYZANTINE MUSICAL SYMBOL EXO EKFONITIKON,images/U+1D00E_BYZANTINE_MUSICAL_SYMBOL_EXO_EKFONITIKON.png
Byzantine Musical Symbols,U+1D00F,𝀏,BYZANTINE MUSICAL SYMBOL TELEIA,images/U+1D00F_BYZANTINE_MUSICAL_SYMBOL_TELEIA.png
Byzantine Musical Symbols,U+1D010,𝀐,BYZANTINE MUSICAL SYMBOL KENTIMATA,images/U+1D010_BYZANTINE_MUSICAL_SYMBOL_KENTIMATA.png
Byzantine Musical Symbols,U+1D011,𝀑,BYZANTINE MUSICAL SYMBOL APOSTROFOS,images/U+1D011_BYZANTINE_MUSICAL_SYMBOL_APOSTROFOS.png
Byzantine Musical Symbols,U+1D012,𝀒,BYZANTINE MUSICAL SYMBOL APOSTROFOS DIPLI,images/U+1D012_BYZANTINE_MUSICAL_SYMBOL_APOSTROFOS_DIPLI.png
Byzantine Musical Symbols,U+1D013,𝀓,BYZANTINE MUSICAL SYMBOL SYNEVMA,images/U+1D013_BYZANTINE_MUSICAL_SYMBOL_SYNEVMA.png
Byzantine Musical Symbols,U+1D014,𝀔,BYZANTINE MUSICAL SYMBOL THITA,images/U+1D014_BYZANTINE_MUSICAL_SYMBOL_THITA.png
Byzantine Musical Symbols,U+1D015,𝀕,BYZANTINE MUSICAL SYMBOL OLIGON ARCHAION,images/U+1D015_BYZANTINE_MUSICAL_SYMBOL_OLIGON_ARCHAION.png
